sample_index,timestamp_sec,raw,voltage_v
120574,7.535875,-29863,0.0
120575,7.5359375,-29859,0.0
120576,7.536,-29857,0.0
120577,7.5360625,-29860,0.0
120578,7.536125,-29863,0.0
120579,7.5361875,-29857,0.0
120580,7.53625,-29859,0.0
120581,7.5363125,-29856,0.0
120582,7.536375,-29859,0.0
120583,7.5364375,-29857,0.0
120584,7.5365,-29859,0.0
120585,7.5365625,-29859,0.0
120586,7.536625,-29853,0.0
120587,7.5366875,-29855,0.0
120588,7.53675,-29853,0.0
120589,7.5368125,-29857,0.0
120590,7.536875,-29866,0.0
120591,7.5369375,-29857,0.0
120592,7.537,-29851,0.0
120593,7.5370625,-29849,0.0
120594,7.537125,-29849,0.0
120595,7.5371875,-29847,0.0
120596,7.53725,-29843,0.0
120597,7.5373125,-29849,0.0
120598,7.537375,-29857,0.0
120599,7.5374375,-29860,0.0
120600,7.5375,-29863,0.0
120601,7.5375625,-29856,0.0
120602,7.537625,-29853,0.0
120603,7.5376875,-29861,0.0
120604,7.53775,-29860,0.0
120605,7.5378125,-29855,0.0
120606,7.537875,-29859,0.0
120607,7.5379375,-29860,0.0
120608,7.538,-29860,0.0
120609,7.5380625,-29860,0.0
120610,7.538125,-29855,0.0
120611,7.5381875,-29855,0.0
120612,7.53825,-29851,0.0
120613,7.5383125,-29861,0.0
120614,7.538375,-29865,0.0
120615,7.5384375,-29857,0.0
120616,7.5385,-29861,0.0
120617,7.5385625,-29858,0.0
120618,7.538625,-29859,0.0
120619,7.5386875,-29865,0.0
120620,7.53875,-29856,0.0
120621,7.5388125,-29850,0.0
120622,7.538875,-29857,0.0
120623,7.5389375,-29863,0.0
120624,7.539,-29854,0.0
120625,7.5390625,-29852,0.0
120626,7.539125,-29854,0.0
120627,7.5391875,-29859,0.0
120628,7.53925,-29863,0.0
120629,7.5393125,-29855,0.0
120630,7.539375,-29851,0.0
120631,7.5394375,-29861,0.0
120632,7.5395,-29861,0.0
120633,7.5395625,-29857,0.0
120634,7.539625,-29856,0.0
120635,7.5396875,-29859,0.0
120636,7.53975,-29860,0.0
120637,7.5398125,-29857,0.0
120638,7.539875,-29855,0.0
120639,7.5399375,-29852,0.0
120640,7.54,-29854,0.0
120641,7.5400625,-29853,0.0
120642,7.540125,-29851,0.0
120643,7.5401875,-29851,0.0
120644,7.54025,-29853,0.0
120645,7.5403125,-29847,0.0
120646,7.540375,-29852,0.0
120647,7.5404375,-29858,0.0
120648,7.5405,-29863,0.0
120649,7.5405625,-29856,0.0
120650,7.540625,-29860,0.0
120651,7.5406875,-29866,0.0
120652,7.54075,-29866,0.0
120653,7.5408125,-29858,0.0
